sample_id,image_path,ground_truth,stay_positive_score,stay_positive_postcal_prediction,official_fsd_prediction,fsd_finetune_v1_prediction,fsd_finetune_v2_prediction,conflict_count,conflict_type,priority_score,case_reason,case_id
adm_auto_2143,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/421_adm_153.PNG,fake,0.5924783011905372,fake,real,real,real,3,strong_conflict,30.203660,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_01
adm_auto_2720,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/508_adm_174.PNG,fake,0.5905729393524819,fake,real,real,real,3,strong_conflict,30.201755,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_02
adm_auto_2875,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/531_adm_153.PNG,fake,0.5681008981251455,fake,real,real,real,3,strong_conflict,30.179283,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_03
adm_auto_0355,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/153_adm_153.PNG,fake,0.5623095564953385,fake,real,real,real,3,strong_conflict,30.173492,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_04
adm_auto_2984,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/548_adm_174.PNG,fake,0.5554500514936569,fake,real,real,real,3,strong_conflict,30.166632,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_05
adm_auto_1421,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/312_adm_85.PNG,fake,0.5554119333101541,fake,real,real,real,3,strong_conflict,30.166594,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_06
adm_auto_1390,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/308_adm_7.PNG,fake,0.5490807328184251,fake,real,real,real,3,strong_conflict,30.160263,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_07
adm_auto_1383,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/307_adm_34.PNG,fake,0.5393903817525771,fake,real,real,real,3,strong_conflict,30.150572,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_08
adm_auto_0280,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/141_adm_7.PNG,fake,0.5336655471822973,fake,real,real,real,3,strong_conflict,30.144848,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_09
adm_auto_2252,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/438_adm_174.PNG,fake,0.5264720065346697,fake,real,real,real,3,strong_conflict,30.137654,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_10
adm_auto_1438,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/315_adm_7.PNG,fake,0.5252402873153506,fake,real,real,real,3,strong_conflict,30.136422,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_11
adm_auto_2693,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/503_adm_85.PNG,fake,0.5238951223644289,fake,real,real,real,3,strong_conflict,30.135077,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_12
adm_auto_2537,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/480_adm_85.PNG,fake,0.519792714333759,fake,real,real,real,3,strong_conflict,30.130975,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_13
adm_auto_2573,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/486_adm_85.PNG,fake,0.5196907710063594,fake,real,real,real,3,strong_conflict,30.130873,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_14
adm_auto_1102,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/265_adm_7.PNG,fake,0.51770514183826,fake,real,real,real,3,strong_conflict,30.128887,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_15
adm_auto_2052,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/407_adm_91.PNG,fake,0.5164208799257116,fake,real,real,real,3,strong_conflict,30.127603,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_16
adm_auto_2606,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/491_adm_174.PNG,fake,0.5150262156617532,fake,real,real,real,3,strong_conflict,30.126208,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_17
adm_auto_2408,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/461_adm_174.PNG,fake,0.5135849057322546,fake,real,real,real,3,strong_conflict,30.124767,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_18
adm_auto_2382,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/457_adm_91.PNG,fake,0.5124717704709593,fake,real,real,real,3,strong_conflict,30.123654,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_19
adm_auto_2235,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/435_adm_34.PNG,fake,0.5074504909926786,fake,real,real,real,3,strong_conflict,30.118632,Stay-Positive 校准后判 fake，但 FSD 三个版本仍判 real，属于高价值互补案例。,adm_conflict_batch_20
